state	district	voteA	prtystrA	expendA	expendB
20	14	63	44	137.56	3.54
20	15	64	45	234.43	7.99
20	18	23	30	9.46	77.1
21	2	42	49	152.29	623.78
21	4	28	39	35.79	216.17
21	5	28	35	16.92	281.45
21	6	35	49	100.94	320.22
21	8	25	40	7.74	157.8
22	3	37	53	202.52	512.21
22	6	41	50	198.62	341.34
22	7	47	39	215.06	338.13
22	8	42	45	516.24	768.79
22	9	32	55	9.56	210.84
23	1	39	52	58.2	250.28
23	2	45	46	394.1	380.93
24	1	33	44	96.28	221.53
24	2	49	58	1158.29	858.76
25	1	36	58	147.89	652.2
26	3	48	63	981.86	678.65
26	4	34	45	53.96	252.82
26	6	38	54	38.92	123.63
26	9	32	54	57.26	403.06
27	1	49	46	576.68	559.13
27	3	27	46	41.67	267.63
28	3	43	60	90.89	364.09
28	5	35	44	35.63	337.79
28	15	39	67	162.16	602.94
28	17	16	22	2.85	170.57
28	22	29	43	10.43	411.06
28	23	38	44	174.79	273.51
28	24	28	42	15.94	151.28
28	27	43	48	645.12	594.97
28	30	43	55	310.7	802.89
28	31	47	44	453.46	688.38
29	1	35	54	16.76	82.15
29	4	42	56	745.73	1006.64
29	5	47	60	718.02	756.11
29	6	38	39	583.01	738.09
29	8	48	62	242.78	581.89
29	10	39	35	44.33	302.21
30	1	29	57	1.15	143.21
31	2	28	38	13.96	125.68
31	6	26	36	43.49	884.75
31	9	19	47	47.94	244.03
31	11	38	56	860.77	561.07
31	14	25	48	13.24	419.01
31	15	25	38	6.68	211.96
31	17	23	38	2.39	96.00
31	19	30	55	0.52	226.09
32	1	48	39	253.59	484.58
32	2	35	53	81.63	358.7
32	5	28	33	0.3	318.82
33	4	28	46	58.56	279.81
34	1	24	34	1.64	234.96
34	3	37	52	23.1	250.48
34	6	37	62	12.00	121.43
34	7	32	40	203.58	507.36
34	8	43	62	507.68	1089.61
34	13	33	44	60.67	225.41
34	15	43	45	355.02	752.33
34	23	38	44	106.46	336.67
35	1	44	58	801.29	385.4
36	1	36	39	82.04	118.7
36	3	46	67	354.58	641.43
36	4	48	68	630.91	1143.35
37	1	28	53	199.42	632.1
38	6	24	61	12.62	454.35
39	1	38	53	94.48	505.61
39	5	39	50	179.2	646.22
39	6	32	38	17.41	654.26
39	13	48	64	476.22	384.74
39	14	47	58	645.99	600.11
39	23	35	51	6.36	187.3
39	26	31	32	189.78	314.9
40	1	40	28	391.93	426.9
40	2	43	60	254.82	676.47
41	1	27	40	30.3	284.7
41	10	32	43	241.45	758.36
42	1	45	51	625.93	1321.02
42	3	50	49	354.14	684.21
42	5	24	52	13.53	476.46
42	6	32	50	37.62	288.17
42	8	29	44	12.6	300.05
43	1	25	49	15.22	103.15
43	4	39	42	32.04	152.27
44	3	32	53	22.63	359.8
44	5	36	36	197.46	1278.53
44	7	38	46	202.59	450.72
44	8	30	47	14.42	227.82
